5, 1, 1467, 13, 52, 223, 1179
11, 1, 93059, 73, 767, 7878, 84341
13, 1, 217801, 107, 1280, 15809, 200605
17, 1, 849017, 273, 2754, 48283, 797707
19, 1, 1489928, 315, 3951, 77105, 1408557
23, 1, 3908219, 584, 6915, 170874, 3729846
27, 1, 8767490, 459, 11296, 306071, 8449664
29, 1, 12563803, 1114, 14519, 433187, 12114983
31, 1, 17573309, 1124, 17580, 573241, 16981364
37, 1, 42775621, 1848, 29817, 1128623, 41615333 
41, 1, 71643182, 2366, 41675, 1764601, 69834540
43, 1, 91003050, 2488, 47404, 2096197, 88856961
47, 1, 142232258, 3657, 62434, 3111483, 139054684
