[ 5, 1, 2001, 20, 73, 300, 1608 ]
[ 7, 1, 12354, 78, 216, 1704, 10356 ]
[ 11, 1, 133102, 129, 1052, 11458, 120463 ]
[ 13, 1, 316362, 189, 1741, 23074, 291358 ]
[ 17, 1, 1257726, 488, 3896, 71919, 1181423 ]
[ 19, 1, 2222313, 562, 5590, 116639, 2099522 ]
[ 23, 1, 5888833, 1076, 10257, 267188, 5610312 ]
[ 29, 1, 19120974, 2136, 21411, 662384, 18435043 ]
[ 31, 1, 26811905, 2107, 26413, 904060, 25879325 ]
[ 37, 1, 65646285, 3655, 44090, 1731404, 63867136 ]
[ 41, 1, 110273611, 4580, 62258, 2732077, 107474696 ]
[ 43, 1, 140250359, 4729, 70946, 3247192, 136927492 ]
[ 47, 1, 219689458, 7072, 97012, 5000886, 214584488 ]
