[ 3, 1, 8747, 33, 83, 260, 769, 1800, 5802 ]
[ 5, 1, 1249572, 349, 1967, 9481, 46340, 197378, 994057 ]
[ 7, 1, 8992548, 547, 3743, 26031, 178680, 1099370, 7684177 ]
[ 11, 1, 10000000, 80, 732, 7769, 81888, 829537, 9079994 ]
[ 13, 1, 10000000, 31, 332, 4580, 59053, 710151, 9225853 ]
[ 17, 1, 10000000, 14, 106, 2059, 33984, 554770, 9409067 ]
[ 19, 1, 10000000, 13, 78, 1427, 27849, 499196, 9471437 ]
[ 23, 1, 10000000, 3, 36, 834, 18970, 416224, 9563933 ]
[ 29, 1, 10000000, 0, 9, 411, 11868, 332134, 9655578 ]
[ 31, 1, 10000000, 0, 9, 354, 10379, 311770, 9677488 ]
[ 37, 1, 10000000, 1, 7, 164, 7225, 263051, 9729552 ]
[ 41, 1, 10000000, 0, 4, 160, 6061, 237768, 9756007 ]
[ 43, 1, 10000000, 0, 3, 126, 5345, 227761, 9766765 ]
[ 47, 1, 10000000, 0, 3, 103, 4566, 208506, 9786822 ]
[ 53, 1, 10000000, 0, 1, 69, 3527, 185858, 9810545 ]
[ 59, 1, 10000000, 0, 2, 48, 2839, 166033, 9831078 ]
[ 61, 1, 10000000, 0, 2, 48, 2670, 161462, 9835818 ]
[ 67, 1, 10000000, 0, 0, 30, 2296, 146916, 9850758 ]
[ 71, 1, 10000000, 1, 1, 24, 1944, 138616, 9859414 ]
[ 73, 1, 10000000, 0, 2, 25, 1832, 135935, 9862206 ]
[ 79, 1, 10000000, 0, 0, 24, 1635, 124702, 9873639 ]
[ 83, 1, 10000000, 0, 0, 17, 1468, 119094, 9879421 ]
[ 89, 1, 10000000, 0, 0, 14, 1222, 110725, 9888039 ]
[ 97, 1, 10000000, 0, 0, 10, 1050, 101952, 9896988 ]
